Genotype,Lecanemab_mg_kg,Cromolyn_mg_kg,Final_Atrophy_Percent_mean,Final_Atrophy_Percent_std,Final_Total_Amyloid_mean,Final_Total_Cytokine_mean
APOE3,0.0,0.0,8.08,4.6986168177454095,29.07066487963575,3.2921078963468357e-25
APOE3,0.0,10.0,7.94,1.331540461270329,29.01362848291013,0.0
APOE3,0.0,20.0,7.47,7.2792169908582895,28.733420361112316,0.0
APOE3,0.0,30.0,6.32,2.7289191999764304,29.340639607656943,0.0
APOE3,0.0,40.0,6.24,2.498399487672058,29.67348939597129,0.0
APOE3,2.5,0.0,8.739999999999999,4.508103814243856,29.34484563978993,1.685544223480571
APOE3,2.5,10.0,7.040000000000001,2.3880954754783157,29.427078947518293,1.6425953680938086
APOE3,2.5,20.0,7.0,4.3005813560494355,28.459742605156986,1.6883171449138352
APOE3,2.5,30.0,5.6,2.1621748310439655,28.633497843150696,1.6673064212416349
APOE3,2.5,40.0,10.920000000000002,5.474212272099066,28.04674353046658,1.709926311329469
APOE3,5.0,0.0,9.040000000000001,6.2608306158208755,29.57172398418684,1.658064066887325
APOE3,5.0,10.0,6.74,1.6831518053936785,28.0722665219313,1.6806396794371576
APOE3,5.0,20.0,8.6,7.845380806563821,28.5831403497032,1.690832702495476
APOE3,5.0,30.0,5.02,1.5849290204927158,28.03940605533449,1.6734505173323402
APOE3,5.0,40.0,5.220000000000001,2.0486580973896062,29.302320855790818,1.6759344248460561
APOE3,7.5,0.0,9.42,8.475966021640248,28.19078536934659,1.6709849055820798
APOE3,7.5,10.0,8.18,4.2862571084805445,27.802024780604988,1.684173275349418
APOE3,7.5,20.0,7.5,6.106144446375306,28.708603847735493,1.6912375293121518
APOE3,7.5,30.0,5.4,2.9385370509830224,28.86098572212839,1.6482717363067008
APOE3,7.5,40.0,10.260000000000002,9.152212847175267,28.140518045316004,1.6847043166739422
APOE3,10.0,0.0,12.72,11.323294573577074,28.960954597506657,1.6589253242733313
APOE3,10.0,10.0,7.06,2.881492668739589,29.174174126767127,1.646894285584649
APOE3,10.0,20.0,6.08,0.42071367935925297,29.12232831217679,1.6516189044879996
APOE3,10.0,30.0,6.74,2.216528817768901,29.426241468986053,1.670112868268084
APOE3,10.0,40.0,8.42,2.663080922540658,29.456688308311744,1.6705847449387061
